Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',658,1156.8689892,1,60021
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',698,9332.9239892,1,43282
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',698,1079.6853892,1,34779
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',448,4670.0620892,1,45762
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',840,8778.1373892,1,88389
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',917,2204.4164892,1,2425
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',3,8837.9821892,1,6435
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',602,979.0008892,1,34257
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',556,7869.7182892,1,74871
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',389,8313.2151892,1,36274
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',897,8536.7228892,1,290
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',298,6932.9595892,1,32447
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',520,8061.7314892,1,20739
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',274,2147.4363892,1,5548
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',554,7073.6109892,1,26715
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',357,2738.2525892,1,48098
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',168,2472.0301892,1,40243
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',423,1878.0658892,1,21795
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',79,1763.2555892,1,
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',845,4108.3683892,1,52557
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',259,4208.8153892,1,61696
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',8,7526.2919892,1,54787
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',981,3156.7672892,1,36445
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',881,9961.9972892,1,26965
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',275,8462.3139892,1,86759
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',68,1759.6888892,1,
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',275,6562.8222892,1,46204
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',553,5354.3469892,1,26854
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',698,1877.9270892,1,61780
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',835,8687.5926892,1,
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',642,1740.9961892,1,64160
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',738,4287.4491892,1,17475
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',537,3791.0492892,1,
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',69,6895.7458892,1,24748
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',498,5504.1831892,1,62910
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',364,5278.2907892,1,69634
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',330,6054.6444892,1,3698
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',47,8619.8361892,1,30443
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',514,8481.8281892,1,46875
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',484,4934.7478892,1,96506
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',121,1904.8276892,1,
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',71,1081.5339892,1,79412
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',87,7864.5108892,1,72263
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',459,8045.4512892,1,
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',479,6248.6894892,1,94407
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',132,1354.8571892,1,59859
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',709,1409.4329892,1,56988
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',300,7258.3123892,1,9406
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',22,4905.6735892,1,61423
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',370,6080.6429892,1,74780
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',232,8474.3802892,1,94564
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',934,2301.2514892,1,40820
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',586,4221.5560892,1,21604
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',628,2572.9021892,1,42757
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',516,7626.2764892,1,6972
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',915,9899.7429892,1,
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',648,1985.4236892,1,
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',202,9400.5255892,1,18719
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',81,9818.8012892,1,10065
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',515,4806.4661892,1,2608
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',391,3607.9633892,1,63384
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',577,8111.5401892,1,
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',381,7875.4485892,1,78228
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',430,8218.2857892,1,
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',366,7952.4420892,1,85366
Syntax error in formula 'this + .00729120471204270912',Syntax error in formula 'this + .012734',356,4445.8137892,1,58131
